pin,slack
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m313_am:A,842
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m313_am:B,3656
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m313_am:C,1896
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m313_am:Y,842
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/sampleB_adr[8]:ADn,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/sampleB_adr[8]:ALn,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/sampleB_adr[8]:CLK,4660
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/sampleB_adr[8]:D,1628
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/sampleB_adr[8]:EN,5045
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/sampleB_adr[8]:LAT,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/sampleB_adr[8]:Q,4660
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/sampleB_adr[8]:SD,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/sampleB_adr[8]:SLn,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_MACC_buf.bf0_real_b_in_2_0_i_m2_am[4]:A,3936
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_MACC_buf.bf0_real_b_in_2_0_i_m2_am[4]:B,6064
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_MACC_buf.bf0_real_b_in_2_0_i_m2_am[4]:C,4657
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_MACC_buf.bf0_real_b_in_2_0_i_m2_am[4]:D,3692
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_MACC_buf.bf0_real_b_in_2_0_i_m2_am[4]:Y,3692
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/HARD_MULT_ADDSUB_C0_0/HARD_MULT_ADDSUB_C0_0/U0/U0/FF_2:CLK,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/HARD_MULT_ADDSUB_C0_0/HARD_MULT_ADDSUB_C0_0/U0/U0/FF_2:EN,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/HARD_MULT_ADDSUB_C0_0/HARD_MULT_ADDSUB_C0_0/U0/U0/FF_2:IPCLKn,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/HARD_MULT_ADDSUB_C0_0/HARD_MULT_ADDSUB_C0_0/U0/U0/FF_2:IPENn,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_MACC_buf.bf0_real_a_in_2_0_i_m2_bm[1]:A,6048
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_MACC_buf.bf0_real_a_in_2_0_i_m2_bm[1]:B,4644
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_MACC_buf.bf0_real_a_in_2_0_i_m2_bm[1]:C,3673
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_MACC_buf.bf0_real_a_in_2_0_i_m2_bm[1]:D,3578
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_MACC_buf.bf0_real_a_in_2_0_i_m2_bm[1]:Y,3578
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/HARD_MULT_ADDSUB_C0_1/HARD_MULT_ADDSUB_C0_0/U0/U0/FF_27:EN,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/HARD_MULT_ADDSUB_C0_1/HARD_MULT_ADDSUB_C0_0/U0/U0/FF_27:IPENn,
FFT_AHB_Wrapper_0/Alpha_Max_plus_Beta_Min_0/val_min_1_1[6]:A,6192
FFT_AHB_Wrapper_0/Alpha_Max_plus_Beta_Min_0/val_min_1_1[6]:B,7545
FFT_AHB_Wrapper_0/Alpha_Max_plus_Beta_Min_0/val_min_1_1[6]:C,7494
FFT_AHB_Wrapper_0/Alpha_Max_plus_Beta_Min_0/val_min_1_1[6]:Y,6192
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/dft_cnt_RNIFHFB6[6]:A,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/dft_cnt_RNIFHFB6[6]:B,4966
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/dft_cnt_RNIFHFB6[6]:C,7298
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/dft_cnt_RNIFHFB6[6]:D,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/dft_cnt_RNIFHFB6[6]:FCI,4891
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/dft_cnt_RNIFHFB6[6]:FCO,4891
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/dft_cnt_RNIFHFB6[6]:S,4929
REFCLK_SEL_obuf[0]/U0/U_IOENFF:A,
REFCLK_SEL_obuf[0]/U0/U_IOENFF:Y,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m158_2_1_0_wmux_1:A,3961
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m158_2_1_0_wmux_1:B,3949
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m158_2_1_0_wmux_1:C,135
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m158_2_1_0_wmux_1:D,-335
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m158_2_1_0_wmux_1:FCI,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m158_2_1_0_wmux_1:FCO,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m158_2_1_0_wmux_1:Y,-335
Board_LEDs_obuf[6]/U0/U_IOPAD:D,
Board_LEDs_obuf[6]/U0/U_IOPAD:E,
Board_LEDs_obuf[6]/U0/U_IOPAD:PAD,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/HARD_MULT_ADDSUB_C0_1/HARD_MULT_ADDSUB_C0_0/U0/U0/CFG_22:B,5749
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/HARD_MULT_ADDSUB_C0_1/HARD_MULT_ADDSUB_C0_0/U0/U0/CFG_22:C,4533
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/HARD_MULT_ADDSUB_C0_1/HARD_MULT_ADDSUB_C0_0/U0/U0/CFG_22:IPB,5749
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/HARD_MULT_ADDSUB_C0_1/HARD_MULT_ADDSUB_C0_0/U0/U0/CFG_22:IPC,4533
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/overflow_sig:ADn,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/overflow_sig:ALn,6786
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/overflow_sig:CLK,7419
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/overflow_sig:D,4688
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/overflow_sig:EN,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/overflow_sig:LAT,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/overflow_sig:Q,7419
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/overflow_sig:SD,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/overflow_sig:SLn,
FFT_AHB_Wrapper_0/Alpha_Max_plus_Beta_Min_0/HARD_MULT_ADDSUB_C1_0/HARD_MULT_ADDSUB_C1_0/U0/U0/FF_26:EN,
FFT_AHB_Wrapper_0/Alpha_Max_plus_Beta_Min_0/HARD_MULT_ADDSUB_C1_0/HARD_MULT_ADDSUB_C1_0/U0/U0/FF_26:IPENn,
FFT_AHB_Wrapper_0/FFT_Core/DPSRAM_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C0/CFG_35:B,6816
FFT_AHB_Wrapper_0/FFT_Core/DPSRAM_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C0/CFG_35:IPB,6816
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/bf0_real_a_in_RNO[8]:A,6926
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/bf0_real_a_in_RNO[8]:B,6861
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/bf0_real_a_in_RNO[8]:C,3657
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/bf0_real_a_in_RNO[8]:D,3562
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/bf0_real_a_in_RNO[8]:Y,3562
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_MACC_buf.bf0_real_a_in_2_0_i_m2_bm[7]:A,6048
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_MACC_buf.bf0_real_a_in_2_0_i_m2_bm[7]:B,4644
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_MACC_buf.bf0_real_a_in_2_0_i_m2_bm[7]:C,3645
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_MACC_buf.bf0_real_a_in_2_0_i_m2_bm[7]:D,3550
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_MACC_buf.bf0_real_a_in_2_0_i_m2_bm[7]:Y,3550
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m158_2_1_0_wmux_0:A,-293
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m158_2_1_0_wmux_0:B,4894
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m158_2_1_0_wmux_0:C,1052
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m158_2_1_0_wmux_0:D,845
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m158_2_1_0_wmux_0:FCI,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m158_2_1_0_wmux_0:FCO,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m158_2_1_0_wmux_0:Y,-293
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/temp_imag_slice[7]:ADn,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/temp_imag_slice[7]:ALn,6786
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/temp_imag_slice[7]:CLK,7352
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/temp_imag_slice[7]:D,4616
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/temp_imag_slice[7]:EN,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/temp_imag_slice[7]:LAT,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/temp_imag_slice[7]:Q,7352
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/temp_imag_slice[7]:SD,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/temp_imag_slice[7]:SLn,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/HARD_MULT_ADDSUB_C0_0/HARD_MULT_ADDSUB_C0_0/U0/U0/FF_9:CLK,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/HARD_MULT_ADDSUB_C0_0/HARD_MULT_ADDSUB_C0_0/U0/U0/FF_9:EN,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/HARD_MULT_ADDSUB_C0_0/HARD_MULT_ADDSUB_C0_0/U0/U0/FF_9:IPCLKn,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/HARD_MULT_ADDSUB_C0_0/HARD_MULT_ADDSUB_C0_0/U0/U0/FF_9:IPENn,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m254_bm:A,3074
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m254_bm:B,2226
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m254_bm:C,2189
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m254_bm:Y,2189
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/twiddle_index[3]:ADn,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/twiddle_index[3]:ALn,6786
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/twiddle_index[3]:CLK,-1079
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/twiddle_index[3]:D,8668
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/twiddle_index[3]:EN,3269
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/twiddle_index[3]:LAT,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/twiddle_index[3]:Q,-1079
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/twiddle_index[3]:SD,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/twiddle_index[3]:SLn,5865
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/adr_a_pipe_3[8]:ADn,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/adr_a_pipe_3[8]:ALn,6786
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/adr_a_pipe_3[8]:CLK,5031
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/adr_a_pipe_3[8]:D,8668
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/adr_a_pipe_3[8]:EN,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/adr_a_pipe_3[8]:LAT,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/adr_a_pipe_3[8]:Q,5031
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/adr_a_pipe_3[8]:SD,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/adr_a_pipe_3[8]:SLn,
FFT_AHB_Wrapper_0/FFT_Core/DPSRAM_1/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C0/CFG_6:B,6751
FFT_AHB_Wrapper_0/FFT_Core/DPSRAM_1/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C0/CFG_6:C,
FFT_AHB_Wrapper_0/FFT_Core/DPSRAM_1/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C0/CFG_6:IPB,6751
FFT_AHB_Wrapper_0/FFT_Core/DPSRAM_1/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C0/CFG_6:IPC,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/bfly_max[2]:ADn,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/bfly_max[2]:ALn,6786
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/bfly_max[2]:CLK,3818
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/bfly_max[2]:D,6959
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/bfly_max[2]:EN,2140
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/bfly_max[2]:LAT,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/bfly_max[2]:Q,3818
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/bfly_max[2]:SD,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/bfly_max[2]:SLn,
FFT_Accel_system_sb_0/FFT_Accel_system_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_232:A,
FFT_Accel_system_sb_0/FFT_Accel_system_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_232:B,
FFT_Accel_system_sb_0/FFT_Accel_system_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_232:C,
FFT_Accel_system_sb_0/FFT_Accel_system_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_232:IPA,
FFT_Accel_system_sb_0/FFT_Accel_system_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_232:IPB,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m54_1:A,954
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m54_1:B,87
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m54_1:C,1038
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m54_1:Y,87
FFT_AHB_Wrapper_0/FFT_Core/DPSRAM_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C0/CFG_0:B,6706
FFT_AHB_Wrapper_0/FFT_Core/DPSRAM_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C0/CFG_0:C,
FFT_AHB_Wrapper_0/FFT_Core/DPSRAM_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C0/CFG_0:IPB,6706
FFT_AHB_Wrapper_0/FFT_Core/DPSRAM_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C0/CFG_0:IPC,
FFT_Accel_system_sb_0/FFT_Accel_system_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_245:A,
FFT_Accel_system_sb_0/FFT_Accel_system_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_245:B,
FFT_Accel_system_sb_0/FFT_Accel_system_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_245:C,
FFT_Accel_system_sb_0/FFT_Accel_system_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_245:IPA,
FFT_Accel_system_sb_0/FFT_Accel_system_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_245:IPB,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/twiddle_index[5]:ADn,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/twiddle_index[5]:ALn,6786
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/twiddle_index[5]:CLK,1061
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/twiddle_index[5]:D,8668
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/twiddle_index[5]:EN,3269
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/twiddle_index[5]:LAT,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/twiddle_index[5]:Q,1061
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/twiddle_index[5]:SD,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/twiddle_index[5]:SLn,5865
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_MACC_buf.bf0_imag_b_in_2_0_i_m2_bm[3]:A,3908
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_MACC_buf.bf0_imag_b_in_2_0_i_m2_bm[3]:B,5992
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_MACC_buf.bf0_imag_b_in_2_0_i_m2_bm[3]:C,4593
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_MACC_buf.bf0_imag_b_in_2_0_i_m2_bm[3]:D,3664
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_MACC_buf.bf0_imag_b_in_2_0_i_m2_bm[3]:Y,3664
FFT_AHB_Wrapper_0/FFT_Core/DPSRAM_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C0/CFG_20:B,6752
FFT_AHB_Wrapper_0/FFT_Core/DPSRAM_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C0/CFG_20:C,5528
FFT_AHB_Wrapper_0/FFT_Core/DPSRAM_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C0/CFG_20:IPB,6752
FFT_AHB_Wrapper_0/FFT_Core/DPSRAM_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C0/CFG_20:IPC,5528
FFT_AHB_Wrapper_0/FFT_Core/A_ADDR_0_temp_3_1_0_wmux[3]:A,6156
FFT_AHB_Wrapper_0/FFT_Core/A_ADDR_0_temp_3_1_0_wmux[3]:B,6025
FFT_AHB_Wrapper_0/FFT_Core/A_ADDR_0_temp_3_1_0_wmux[3]:C,6453
FFT_AHB_Wrapper_0/FFT_Core/A_ADDR_0_temp_3_1_0_wmux[3]:D,3497
FFT_AHB_Wrapper_0/FFT_Core/A_ADDR_0_temp_3_1_0_wmux[3]:FCI,
FFT_AHB_Wrapper_0/FFT_Core/A_ADDR_0_temp_3_1_0_wmux[3]:FCO,
FFT_AHB_Wrapper_0/FFT_Core/A_ADDR_0_temp_3_1_0_wmux[3]:Y,3497
Board_LEDs_obuf[5]/U0/U_IOENFF:A,
Board_LEDs_obuf[5]/U0/U_IOENFF:Y,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_pipe_pusher.un8_samplea_adr_14:A,2829
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_pipe_pusher.un8_samplea_adr_14:B,2695
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_pipe_pusher.un8_samplea_adr_14:C,1313
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_pipe_pusher.un8_samplea_adr_14:D,1254
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_pipe_pusher.un8_samplea_adr_14:Y,1254
FFT_AHB_Wrapper_0/FFT_Core/B_ADDR_0_temp_0_iv[9]:A,7127
FFT_AHB_Wrapper_0/FFT_Core/B_ADDR_0_temp_0_iv[9]:B,7118
FFT_AHB_Wrapper_0/FFT_Core/B_ADDR_0_temp_0_iv[9]:C,4712
FFT_AHB_Wrapper_0/FFT_Core/B_ADDR_0_temp_0_iv[9]:D,4609
FFT_AHB_Wrapper_0/FFT_Core/B_ADDR_0_temp_0_iv[9]:Y,4609
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m215_1_0_wmux_0:A,-122
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m215_1_0_wmux_0:B,4811
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m215_1_0_wmux_0:C,1131
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m215_1_0_wmux_0:D,2702
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m215_1_0_wmux_0:FCI,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m215_1_0_wmux_0:Y,-122
FFT_Accel_system_sb_0/FFT_Accel_system_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_255:A,
FFT_Accel_system_sb_0/FFT_Accel_system_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_255:B,
FFT_Accel_system_sb_0/FFT_Accel_system_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_255:C,
FFT_Accel_system_sb_0/FFT_Accel_system_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_255:IPA,
FFT_Accel_system_sb_0/FFT_Accel_system_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_255:IPB,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/imag_b_out_sum_trunc_rnd[0]:ADn,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/imag_b_out_sum_trunc_rnd[0]:ALn,6786
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/imag_b_out_sum_trunc_rnd[0]:CLK,7378
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/imag_b_out_sum_trunc_rnd[0]:D,7402
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/imag_b_out_sum_trunc_rnd[0]:EN,
